Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Kepa Arrizabalaga,eng Premier League,29.0,2790,0,0,GK,1,0,15,2,1,621,1,0.1,0.0,
Arthur,de Bundesliga,21.0,752,0,1,DF,14,9,29,13,5,242,2,0.1,0.4,
Takuma Asano,es La Liga,29.0,1054,2,1,"FW,MF",13,6,9,13,6,207,6,2.7,0.7,
Raúl Asencio,es La Liga,21.0,1670,0,1,DF,22,16,88,2,6,720,6,0.1,0.6,
Marco Asensio,eng Premier League,28.0,743,3,1,MF,7,2,3,8,12,242,16,4.4,1.0,
Marco Asensio,fr Ligue 1,28.0,618,2,4,"FW,MF",4,0,1,7,4,260,16,5.6,2.7,
Kristjan Asllani,it Serie A,22.0,980,2,2,MF,14,9,13,3,1,700,15,2.5,1.9,
Iago Aspas,es La Liga,36.0,1745,10,5,"FW,MF",13,8,5,27,15,724,38,8.7,4.6,
Yaser Asprilla,es La Liga,20.0,1405,3,1,"FW,MF",22,7,7,24,29,534,24,2.1,2.8,
Lorenz Assignon,fr Ligue 1,24.0,2357,3,4,"DF,MF",49,25,74,38,28,807,29,2.2,3.5,
Dehmaine Assoumani,fr Ligue 1,19.0,98,0,0,"MF,FW",6,1,4,2,3,48,5,0.1,0.9,
Valentin Atangana Edoa,fr Ligue 1,18.0,2854,1,0,MF,69,37,64,14,14,735,12,2.5,1.1,
Arthur Atta,it Serie A,21.0,1251,0,1,"MF,FW",20,7,15,22,27,515,18,1.3,1.4,
Noah Atubolu,de Bundesliga,22.0,2307,0,0,GK,0,0,13,1,0,680,0,0.0,0.0,
Emil Audero,it Serie A,27.0,720,0,0,GK,0,0,4,0,0,177,0,0.0,0.0,
Tommaso Augello,it Serie A,29.0,2713,0,7,DF,49,16,109,50,24,882,39,0.3,4.6,
Carlos Augusto,it Serie A,25.0,1625,3,2,DF,29,9,50,19,7,837,9,2.8,1.6,
Yann Aurel Bisseck,it Serie A,23.0,1553,3,2,DF,17,17,64,16,3,998,7,2.6,0.9,
Brandon Austin,eng Premier League,25.0,90,0,0,GK,0,0,1,0,0,22,0,0.0,0.0,
Ezequiel Ávila,es La Liga,30.0,677,2,0,FW,8,2,8,9,5,173,15,1.5,1.0,
Taiwo Awoniyi,eng Premier League,26.0,416,1,0,FW,6,0,7,4,4,90,2,2.1,0.1,
Yasin Ayari,eng Premier League,20.0,1965,2,1,MF,59,20,26,14,18,655,30,2.4,2.3,
Florian Ayé,fr Ligue 1,27.0,575,2,0,FW,2,7,6,5,2,89,3,1.9,0.1,
André Ayew,fr Ligue 1,34.0,1453,4,1,FW,18,3,21,10,5,159,8,4.3,0.2,
Jordan Ayew,eng Premier League,32.0,21,0,0,"FW,MF",1,0,0,0,0,6,1,0.5,0.0,
Jordan Ayew,eng Premier League,32.0,1638,5,0,"FW,MF",27,12,19,11,26,479,16,3.2,1.1,
Neil El Aynaoui,fr Ligue 1,23.0,1588,8,1,MF,39,30,29,17,5,582,22,4.0,2.0,
Ayman Azhil,de Bundesliga,23.0,24,0,0,MF,1,0,0,1,0,4,0,0.0,0.0,
Adam Aznou,es La Liga,18.0,876,0,0,DF,28,10,30,12,19,219,6,0.3,0.3,
Adam Aznou,de Bundesliga,18.0,17,0,0,DF,0,0,1,0,0,12,0,0.0,0.0,
César Azpilicueta,es La Liga,34.0,875,1,0,DF,25,5,32,4,1,432,3,0.2,0.1,
Paulo Azzi,it Serie A,30.0,426,0,0,DF,11,5,11,4,8,119,5,0.5,0.9,
Oussama El Azzouzi,it Serie A,23.0,19,0,0,MF,0,2,0,0,0,14,0,0.0,0.0,
Papa Ba,es La Liga,19.0,48,0,0,MF,1,0,1,3,1,9,0,0.0,0.0,
Shavy Babicka,fr Ligue 1,24.0,1186,4,2,"MF,FW",21,3,4,12,11,273,13,3.9,1.6,
Jacopo Bacci,it Serie A,19.0,31,0,0,MF,1,1,1,1,0,5,0,0.0,0.0,
